4587	1	1	0
8883	2	1	0
10938	1	1	0
16012	1	1	0
22084	1	1	0
24233	0	1	0
27688	1	1	0
31673	2	1	0
33225	1	1	0
35939	2	1	0
38867	1	1	0
41385	2	1	0
45840	1	1	0
52627	2	1	0
54028	1	1	0
65486	1	1	0
72114	1	1	0
74484	2	1	0
78189	1	1	0
91483	2	1	0
93134	1	1	0
95126	0	1	0
109635	1	1	0
121773	2	1	0
124762	1	1	0
136224	2	1	0
137683	1	1	0
141828	2	1	0
144067	1	1	0
148672	1	1	0
154777	1	1	0
172678	1	1	0
186476	1	1	0
188375	2	1	0
206963	1	1	0
216988	1	1	0
238937	1	1	0
258584	1	1	0
275086	1	1	0
294825	0	1	0
299340	1	1	0
